variant,seed,task_id,acc,context_entropy,context_margin,context_top1_acc,context_brier,context_ece,latent_frechet_margin,prototype_weight,class2_margin_vs4,class5_margin_vs4,class2_logit_rank,class5_logit_rank,route_dominance,effective_hosts
reference_v22c,0,0,0.028,0.30911359190940857,0.8177343010902405,0.0,1.821062445640564,0.9037823677062988,41.306278228759766,0.9499999284744263,-0.5101326107978821,,37.9375,,0.7133141756057739,2.2611262798309326
reference_v22c,0,1,0.0775,0.1268872767686844,0.9481555819511414,0.0,1.9338332414627075,0.9722686409950256,60.921409606933594,0.9499999284744263,,1.7303744554519653,,22.06999969482422,0.7437502145767212,1.9877439737319946
reference_v22c,0,2,0.0155,0.41173967719078064,0.7122078537940979,0.0,1.498779296875,0.8525053858757019,38.93168258666992,0.9499999284744263,,,,,0.6797887086868286,2.32000470161438
reference_v22c,0,3,0.01,0.63603276014328,0.5495113730430603,0.0,1.202455759048462,0.7609419822692871,34.24326705932617,0.9499999284744263,,,,,0.6799729466438293,2.2514820098876953
reference_v22c,0,4,0.3205,0.2903984487056732,0.8132492899894714,1.0,0.04267140477895737,0.09721371531486511,18.5889835357666,0.9499999284744263,,,,,0.9435491561889648,1.2756872177124023
reference_v22c,0,5,0.293,0.18654976785182953,0.8954541087150574,0.871999979019165,0.1550956815481186,0.12002085149288177,39.17771530151367,0.9499999284744263,,,,,0.7801436185836792,1.7903058528900146
reference_v22c,0,6,0.654,0.0976494699716568,0.9627173542976379,1.0,0.001545627717860043,0.02045220509171486,99.62169647216797,0.9499999284744263,,,,,0.4014727473258972,3.369251251220703
reference_v22c,0,7,0.648,0.0723031535744667,0.9744433760643005,1.0,0.0010417844168841839,0.01457533985376358,121.50154876708984,0.9499999284744263,,,,,0.716464638710022,2.2439844608306885
reference_v22c,0,8,0.41,0.14278900623321533,0.9463974833488464,1.0,0.0023743384517729282,0.03014295920729637,45.94115447998047,0.9499999284744263,,,,,0.5995322465896606,2.3340728282928467
reference_v22c,0,9,0.3475,0.09111343324184418,0.9648870229721069,1.0,0.001415922655723989,0.01918511837720871,106.46286010742188,0.9499999284744263,,,,,0.7242584228515625,1.9883053302764893
reference_v22c,4,0,0.004,0.6200379133224487,0.5512000322341919,0.03999999910593033,1.5607925653457642,0.7319970726966858,27.308332443237305,0.9499999284744263,-0.008178113959729671,,30.75749969482422,,0.9016483426094055,1.507534384727478
reference_v22c,4,1,0.0,0.11354941129684448,0.9562966227531433,0.0,1.9424115419387817,0.9762974381446838,80.83037567138672,0.9499999284744263,,0.6159194707870483,,26.43000030517578,0.9678294658660889,1.1807223558425903
reference_v22c,4,2,0.0875,0.4468536674976349,0.6685841679573059,0.06400000303983688,1.3335051536560059,0.7624452710151672,11.086949348449707,0.9499999284744263,,,,,0.871234118938446,1.724552035331726
