variant,seed,after_task,task_id,acc,context_entropy,context_margin,context_top1_acc,context_brier,context_ece,latent_frechet_margin,prototype_weight,class2_margin_vs4,class5_margin_vs4,class2_logit_rank,class5_logit_rank
reference_v22c,0,0,0,0.376,6.863997148442991e-10,1.0,1.0,1.5863781263054203e-21,0.0,999979.125,0.9499999284744263,-0.7748024463653564,,3.325000047683716,
reference_v22c,0,1,0,0.0995,0.07289838045835495,0.9634838700294495,0.0,1.928769588470459,0.9818632006645203,138.26251220703125,0.9499999284744263,0.19705066084861755,,6.807499885559082,
reference_v22c,0,1,1,0.3815,0.002997986041009426,0.9985377192497253,1.0,6.792577187297866e-05,0.000782158225774765,267.74578857421875,0.9499999284744263,,6.827744960784912,,3.1424999237060547
reference_v22c,0,2,0,0.09,0.45005619525909424,0.6724972724914551,0.0,1.5487016439437866,0.8285250663757324,31.528579711914062,0.9499999284744263,-1.7866040468215942,,11.337499618530273,
reference_v22c,0,2,1,0.336,0.05073216184973717,0.9804926514625549,1.0,0.0007450119010172784,0.010326601564884186,130.41380310058594,0.9499999284744263,,5.303684234619141,,3.737499952316284
reference_v22c,0,2,2,0.4355,0.07504218071699142,0.9672521948814392,1.0,0.0014396776678040624,0.01689080148935318,143.16212463378906,0.9499999284744263,,,,
reference_v22c,0,3,0,0.072,0.1285022348165512,0.9478582143783569,0.0,1.9348838329315186,0.9721307158470154,87.50276184082031,0.9499999284744263,-2.4599356651306152,,17.774999618530273,
reference_v22c,0,3,1,0.3295,0.06485103070735931,0.9759351015090942,1.0,0.0009101107134483755,0.013058926910161972,148.76036071777344,0.9499999284744263,,5.044293403625488,,3.617500066757202
reference_v22c,0,3,2,0.44,0.09251199662685394,0.9624078273773193,1.0,0.001566814142279327,0.019899550825357437,95.01762390136719,0.9499999284744263,,,,
reference_v22c,0,3,3,0.256,0.10558556765317917,0.9574569463729858,1.0,0.0017836479237303138,0.02273111417889595,89.79431915283203,0.9499999284744263,,,,
reference_v22c,0,4,0,0.0625,0.1800651252269745,0.9123019576072693,0.0,1.9026527404785156,0.9535263776779175,15.65439224243164,0.9499999284744263,-3.0724129676818848,,22.627500534057617,
reference_v22c,0,4,1,0.33,0.07888752967119217,0.967624306678772,1.0,0.0013300321297720075,0.017153941094875336,87.00942993164062,0.9499999284744263,,5.536474227905273,,3.2174999713897705
reference_v22c,0,4,2,0.4585,0.08469706028699875,0.9652919173240662,1.0,0.001485806773416698,0.0185977965593338,84.53838348388672,0.9499999284744263,,,,
reference_v22c,0,4,3,0.272,0.1203678771853447,0.9490655660629272,1.0,0.002261992311105132,0.027070820331573486,45.35465621948242,0.9499999284744263,,,,
reference_v22c,0,4,4,0.644,0.09409733861684799,0.9602587223052979,1.0,0.001663277274928987,0.020806051790714264,110.0894546508789,0.9499999284744263,,,,
reference_v22c,0,5,0,0.051,0.4885782301425934,0.6488306522369385,0.0,1.6979397535324097,0.8206657767295837,22.24101448059082,0.9499999284744263,-0.24437251687049866,,22.582500457763672,
reference_v22c,0,5,1,0.337,0.13917496800422668,0.9282459616661072,1.0,0.00826637726277113,0.03705615922808647,51.59938430786133,0.9499999284744263,,6.509535312652588,,2.4549999237060547
reference_v22c,0,5,2,0.206,0.3880371153354645,0.6874310374259949,0.5354999899864197,0.5483399629592896,0.3726934790611267,9.285046577453613,0.9499999284744263,,,,
reference_v22c,0,5,3,0.148,0.3105638325214386,0.799480140209198,0.5759999752044678,0.5541633367538452,0.3660869896411896,14.565360069274902,0.9499999284744263,,,,
reference_v22c,0,5,4,0.457,0.1408023238182068,0.9413387179374695,1.0,0.0025863396003842354,0.03127874433994293,54.82274627685547,0.9499999284744263,,,,
reference_v22c,0,5,5,0.3985,0.09508094191551208,0.9593167304992676,1.0,0.0016928334953263402,0.021158631891012192,109.27063751220703,0.9499999284744263,,,,
reference_v22c,0,6,0,0.0545,0.1697579026222229,0.9283738136291504,0.0,1.9124290943145752,0.9614970684051514,21.356935501098633,0.9499999284744263,-1.788610577583313,,26.287500381469727,
reference_v22c,0,6,1,0.333,0.18705235421657562,0.8935106992721558,1.0,0.015271722339093685,0.054752230644226074,49.45315170288086,0.9499999284744263,,5.867921829223633,,2.6875
reference_v22c,0,6,2,0.4495,0.11007393896579742,0.9529536366462708,1.0,0.002120920456945896,0.02493267133831978,38.84831619262695,0.9499999284744263,,,,
reference_v22c,0,6,3,0.2685,0.14337407052516937,0.9377984404563904,1.0,0.002855482744053006,0.032880526036024094,42.02716064453125,0.9499999284744263,,,,
