seed,mean_lsa_cosine,mean_lsa_pearson,suspicious_rate
0,0.8449375476709748,0.7070839197182045,0.36664893617021277
1,0.8224371667046008,0.7105422709696161,0.35132978723404257
2,0.8222701874806815,0.6809732838547796,0.35382978723404257
3,0.8519008195852702,0.7776179570981552,0.38941489361702125
4,0.9999956935298091,0.9999859434537222,0.36180851063829783
