seed,Best replay,Joint MLP control,Safe readout,Selected RC2O,ZF oracle,Selected minus replay,Safe minus replay,Selected minus ZF oracle
0,0.3322,0.3787,0.5517000000000001,0.5563,0.6724,0.22410000000000002,0.21950000000000008,-0.11609999999999998
1,0.323,0.3701,0.4542,0.4492,0.6331,0.12619999999999998,0.13119999999999998,-0.1839
2,0.3426,0.3841,0.6282,0.6211,0.6773,0.27849999999999997,0.28559999999999997,-0.05620000000000003
3,0.3362,0.381,0.535,0.5272,0.6862999999999999,0.191,0.19880000000000003,-0.1590999999999999
4,0.3287,0.3773,0.5194,0.524,0.6062000000000001,0.19530000000000003,0.19069999999999998,-0.08220000000000005
