seed,context_top1_mean,context_top1_oldest2,context_entropy_mean,route_dominance_mean,route_dominance_max,effective_hosts_mean,effective_hosts_min
0,0.55,0.0,9.48514641706606e-08,0.8590689659118652,0.9580647349357604,2.0286460161209106,1.2541333436965942
1,0.8,0.0,1.443086136745862e-14,0.7261292546987533,0.954611599445343,2.660708725452423,1.256922483444214
2,0.75,0.0,7.927007391117027e-05,0.7630097448825837,0.9410610795021056,2.4022438645362856,1.6965597867965698
3,0.575,0.0,0.012694634567640667,0.6672581523656845,0.9621791839599608,3.221500372886658,1.2227448225021362
4,0.725,0.0,0.008600523705956669,1.0,1.0,1.0000000238418578,1.0
