variant,seed,final_avg_acc,min_task_acc,oldest2_acc,recent2_acc,context_top1_mean,context_oldest2_mean,effective_hosts_mean,max_route_dominance,min_class_recall,zero_recall_classes,duration_sec,dynamic_readout_attempted,dynamic_readout_selected,base_proxy_score,base_proxy_global_acc,base_proxy_min_task,base_proxy_oldest2_acc,base_proxy_task_std,base_proxy_zero_classes,candidate_proxy_score,candidate_proxy_global_acc,candidate_proxy_min_task,candidate_proxy_oldest2_acc,candidate_proxy_task_std,candidate_proxy_zero_classes,avg_forgetting
reference_v22c,0,0.28040000000000004,0.01,0.05275,0.37875,0.5871999979019165,0.0,2.182196390628815,0.9435491561889648,0.0,11,283.3434762954712,False,False,,,,,,,,,,,,,0.20244444444444443
reference_v22c,4,0.26635,0.0,0.002,0.498,0.4696000017225742,0.019999999552965164,1.8962837696075439,0.9678294658660889,0.0,7,282.5175380706787,False,False,,,,,,,,,,,,,0.24216666666666667
context_ema_retention,0,0.26345,0.002,0.010750000000000001,0.41625,0.48960000202059745,0.0,2.4847450971603395,0.6535768508911133,0.0,12,401.5097453594208,False,False,,,,,,,,,,,,,0.2416111111111111
context_ema_retention,4,0.33059999999999995,0.0,0.02975,0.422,0.6551999978721141,0.0,2.4044363379478453,0.8990215063095093,0.0,9,404.8734335899353,False,False,,,,,,,,,,,,,0.17866666666666664
full_rescue,0,0.304,0.0495,0.055,0.40800000000000003,0.6768000006675721,0.0,8.727573585510253,0.2728777527809143,0.0,1,544.2392556667328,True,True,1.862870815119737,0.9603124856948853,0.8531250357627869,1.0,0.04658346016410011,0.0,1.8648469600635453,0.9603124856948853,0.856249988079071,1.0,0.046077592393912584,0.0,0.16677777777777777
full_rescue,4,0.33015000000000005,0.053,0.056999999999999995,0.42374999999999996,0.7447999954223633,0.0,8.633389329910278,0.2546730041503906,0.0025,0,555.105171918869,True,False,1.8837629076931484,0.9640624523162842,0.8812500238418579,1.0,0.045247794641253794,0.0,1.8830486102946304,0.9634374976158142,0.8812500238418579,1.0,0.04569450813149246,0.0,0.13305555555555557
