variant,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,oldest2_acc_mean,context_top1_mean,context_oldest2_mean,zero_recall_classes_mean,effective_hosts_mean,max_route_dominance_mean,avg_forgetting_mean,duration_sec_mean
context_ema_retention,0.297025,0.04748222035667662,0.001,0.02025,0.5723999999463558,0.0,10.5,2.4445907175540924,0.7762991786003113,0.21013888888888888,403.19158947467804
full_rescue,0.317075,0.018490842328028282,0.051250000000000004,0.055999999999999994,0.7107999980449677,0.0,0.5,8.680481457710265,0.26377537846565247,0.14991666666666667,549.6722137928009
reference_v22c,0.27337500000000003,0.009934850275671056,0.005,0.027375,0.5283999998122453,0.009999999776482582,9.0,2.039240080118179,0.9556893110275269,0.22230555555555553,282.93050718307495
